PRIM_STATE,NAICS,NAICS_TITLE,I_GROUP,OWN_CODE,SOC_CODE,TITLE,O_GROUP,TOT_EMP,EMP_PRSE,JOBS_1000,LOC_QUOTIENT,H_MEAN,A_MEAN,H_MEDIAN,A_MEDIAN
OH,0,Cross-industry,cross-industry,1235,21-2021.00,"Directors, Religious Activities and Education",detailed,410,13.8,0.08,0.53,24.56,51080,22.53,46870
OH,0,Cross-industry,cross-industry,1235,21-2099.00,"Religious Workers, All Other",detailed,120,43,0.022,0.3,20.69,43040,18.51,38500
OH,0,Cross-industry,cross-industry,1235,23-0000.00,Legal Occupations,major,31480,2.6,6.053,0.72,44.57,92710,36.21,75320
OH,0,Cross-industry,cross-industry,1235,23-1011.00,Lawyers,detailed,15840,4.2,3.046,0.63,58.92,122550,49.18,102290
OH,0,Cross-industry,cross-industry,1235,23-1012.00,Judicial Law Clerks,detailed,270,0.6,0.051,0.49,26.3,54700,23.6,49090
OH,0,Cross-industry,cross-industry,1235,23-1021.00,"Administrative Law Judges, Adjudicators, and Hearing Officers",detailed,670,0.4,0.128,1.3,43.82,91140,37.16,77290
OH,0,Cross-industry,cross-industry,1235,23-1022.00,"Arbitrators, Mediators, and Conciliators",detailed,210,14,0.041,0.79,30.7,63850,24.59,51140
OH,0,Cross-industry,cross-industry,1235,23-1023.00,"Judges, Magistrate Judges, and Magistrates",detailed,2520,1,0.485,2.46,51.92,108000,47.76,99330
OH,0,Cross-industry,cross-industry,1235,23-2011.00,Paralegals and Legal Assistants,detailed,8970,6.9,1.724,0.72,24.28,50500,22.57,46940
OH,0,Cross-industry,cross-industry,1235,23-2093.00,"Title Examiners, Abstractors, and Searchers",detailed,2420,17.1,0.465,1.28,24.72,51420,23.39,48650
OH,0,Cross-industry,cross-industry,1235,23-2099.00,"Legal Support Workers, All Other",detailed,590,16.6,0.114,0.35,31.77,66090,27.91,58050
OH,0,Cross-industry,cross-industry,1235,25-0000.00,Educational Instruction and Library Occupations,major,306050,0.7,58.843,1.01,30,62410,29.13,60590
OH,0,Cross-industry,cross-industry,1235,25-1011.00,"Business Teachers, Postsecondary",detailed,5700,0.9,1.096,1.94,.,98110,.,77890
OH,0,Cross-industry,cross-industry,1235,25-1021.00,"Computer Science Teachers, Postsecondary",detailed,990,1.4,0.191,0.72,.,94090,.,81680
OH,0,Cross-industry,cross-industry,1235,25-1022.00,"Mathematical Science Teachers, Postsecondary",detailed,1780,1.6,0.342,1.09,.,84350,.,77740
OH,0,Cross-industry,cross-industry,1235,25-1031.00,"Architecture Teachers, Postsecondary",detailed,130,1.3,0.024,0.57,.,95840,.,98070
OH,0,Cross-industry,cross-industry,1235,25-1032.00,"Engineering Teachers, Postsecondary",detailed,1540,1.3,0.295,1.17,.,109270,.,103340
OH,0,Cross-industry,cross-industry,1235,25-1041.00,"Agricultural Sciences Teachers, Postsecondary",detailed,70,6.7,0.013,0.22,.,70660,.,63710
OH,0,Cross-industry,cross-industry,1235,25-1042.00,"Biological Science Teachers, Postsecondary",detailed,1710,0.7,0.329,0.97,.,88690,.,79410
OH,0,Cross-industry,cross-industry,1235,25-1051.00,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",detailed,380,9.1,0.073,1,.,87010,.,83480
OH,0,Cross-industry,cross-industry,1235,25-1052.00,"Chemistry Teachers, Postsecondary",detailed,780,0.7,0.151,1.05,.,87760,.,78100
OH,0,Cross-industry,cross-industry,1235,25-1053.00,"Environmental Science Teachers, Postsecondary",detailed,150,3,0.029,0.76,.,96750,.,99040
OH,0,Cross-industry,cross-industry,1235,25-1054.00,"Physics Teachers, Postsecondary",detailed,420,1.6,0.08,0.91,.,81230,.,77630
OH,0,Cross-industry,cross-industry,1235,25-1061.00,"Anthropology and Archeology Teachers, Postsecondary",detailed,120,1,0.022,0.62,.,87560,.,81440
OH,0,Cross-industry,cross-industry,1235,25-1062.00,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",detailed,320,1,0.062,0.97,.,83130,.,80360
OH,0,Cross-industry,cross-industry,1235,25-1063.00,"Economics Teachers, Postsecondary",detailed,370,1.7,0.07,0.84,.,102640,.,98830
OH,0,Cross-industry,cross-industry,1235,25-1064.00,"Geography Teachers, Postsecondary",detailed,120,1.4,0.022,0.92,.,86930,.,83860
OH,0,Cross-industry,cross-industry,1235,25-1065.00,"Political Science Teachers, Postsecondary",detailed,400,4,0.078,0.78,.,86620,.,79270
OH,0,Cross-industry,cross-industry,1235,25-1066.00,"Psychology Teachers, Postsecondary",detailed,1210,1.6,0.233,0.91,.,90000,.,81120
OH,0,Cross-industry,cross-industry,1235,25-1067.00,"Sociology Teachers, Postsecondary",detailed,410,3.1,0.08,0.89,.,81860,.,77980
OH,0,Cross-industry,cross-industry,1235,25-1069.00,"Social Sciences Teachers, Postsecondary, All Other",detailed,390,11.5,0.075,0.66,.,74630,.,64440
OH,0,Cross-industry,cross-industry,1235,25-1071.00,"Health Specialties Teachers, Postsecondary",detailed,7500,1.3,1.441,1.06,.,141260,.,107630
OH,0,Cross-industry,cross-industry,1235,25-1072.00,"Nursing Instructors and Teachers, Postsecondary",detailed,3640,2.1,0.701,1.45,.,81810,.,77100
OH,0,Cross-industry,cross-industry,1235,25-1081.00,"Education Teachers, Postsecondary",detailed,2280,3.8,0.438,1.05,.,72430,.,62850
OH,0,Cross-industry,cross-industry,1235,25-1082.00,"Library Science Teachers, Postsecondary",detailed,170,1.1,0.033,1.09,.,67690,.,63950
OH,0,Cross-industry,cross-industry,1235,25-1111.00,"Criminal Justice and Law Enforcement Teachers, Postsecondary",detailed,600,1.7,0.115,1.18,.,66000,.,60920
OH,0,Cross-industry,cross-industry,1235,25-1112.00,"Law Teachers, Postsecondary",detailed,490,0.9,0.094,0.94,.,128140,.,117010
OH,0,Cross-industry,cross-industry,1235,25-1113.00,"Social Work Teachers, Postsecondary",detailed,470,1,0.09,1.03,.,83020,.,77630
OH,0,Cross-industry,cross-industry,1235,25-1121.00,"Art, Drama, and Music Teachers, Postsecondary",detailed,4180,1.2,0.803,1.19,.,81390,.,64100
OH,0,Cross-industry,cross-industry,1235,25-1122.00,"Communications Teachers, Postsecondary",detailed,1050,1.6,0.202,1.04,.,85420,.,77630
OH,0,Cross-industry,cross-industry,1235,25-1123.00,"English Language and Literature Teachers, Postsecondary",detailed,2040,1.3,0.393,0.95,.,75460,.,63900
OH,0,Cross-industry,cross-industry,1235,25-1124.00,"Foreign Language and Literature Teachers, Postsecondary",detailed,920,0.7,0.178,1.28,.,75460,.,64520
OH,0,Cross-industry,cross-industry,1235,25-1125.00,"History Teachers, Postsecondary",detailed,680,1.1,0.13,0.99,.,81270,.,79410
OH,0,Cross-industry,cross-industry,1235,25-1126.00,"Philosophy and Religion Teachers, Postsecondary",detailed,850,3.8,0.164,1.11,.,88250,.,78370
OH,0,Cross-industry,cross-industry,1235,25-1192.00,"Family and Consumer Sciences Teachers, Postsecondary",detailed,130,2.6,0.024,1.26,.,79570,.,69550
OH,0,Cross-industry,cross-industry,1235,25-1193.00,"Recreation and Fitness Studies Teachers, Postsecondary",detailed,630,0.7,0.122,1.24,.,72910,.,63740
OH,0,Cross-industry,cross-industry,1235,25-1194.00,"Career/Technical Education Teachers, Postsecondary",detailed,2970,5.5,0.571,0.76,28.04,58330,24.54,51050
OH,0,Cross-industry,cross-industry,1235,25-1199.00,"Postsecondary Teachers, All Other",detailed,4620,3.2,0.889,0.63,.,66780,.,61590
OH,0,Cross-industry,cross-industry,1235,25-2011.00,"Preschool Teachers, Except Special Education",detailed,13880,5.4,2.67,0.96,15.4,32020,13.89,28890
OH,0,Cross-industry,cross-industry,1235,25-2012.00,"Kindergarten Teachers, Except Special Education",detailed,3530,12.9,0.679,0.79,.,60600,.,60670
OH,0,Cross-industry,cross-industry,1235,25-2021.00,"Elementary School Teachers, Except Special Education",detailed,50400,6.5,9.69,1.03,.,67850,.,64410
OH,0,Cross-industry,cross-industry,1235,25-2022.00,"Middle School Teachers, Except Special and Career/Technical Education",detailed,24890,10.9,4.785,1.14,.,67190,.,63670
OH,0,Cross-industry,cross-industry,1235,25-2023.00,"Career/Technical Education Teachers, Middle School",detailed,..,..,..,..,.,72200,.,76890
OH,0,Cross-industry,cross-industry,1235,25-2031.00,"Secondary School Teachers, Except Special and Career/Technical Education",detailed,58040,5.1,11.159,1.54,.,71180,.,75330
OH,0,Cross-industry,cross-industry,1235,25-2032.00,"Career/Technical Education Teachers, Secondary School",detailed,4390,15.9,0.844,1.41,.,74150,.,76880
OH,0,Cross-industry,cross-industry,1235,25-2051.00,"Special Education Teachers, Preschool",detailed,1250,21.1,0.24,1.6,.,67150,.,62420
OH,0,Cross-industry,cross-industry,1235,25-2052.00,"Special Education Teachers, Kindergarten and Elementary School",detailed,8490,8.8,1.633,1.23,.,68540,.,70900
OH,0,Cross-industry,cross-industry,1235,25-2057.00,"Special Education Teachers, Middle School",detailed,3910,21.1,0.752,1.34,.,59380,.,58220
OH,0,Cross-industry,cross-industry,1235,25-2058.00,"Special Education Teachers, Secondary School",detailed,8670,7.2,1.667,1.61,.,64890,.,62010
OH,0,Cross-industry,cross-industry,1235,25-2059.00,"Special Education Teachers, All Other",detailed,560,27.7,0.108,0.4,.,54420,.,47140
OH,0,Cross-industry,cross-industry,1235,25-3011.00,"Adult Basic Education, Adult Secondary Education, and English as a Second Language Instructors",detailed,660,9.5,0.126,0.46,28.23,58720,24.1,50130
OH,0,Cross-industry,cross-industry,1235,25-3021.00,Self-Enrichment Teachers,detailed,5980,5.8,1.15,0.75,17.6,36600,14.64,30450
OH,0,Cross-industry,cross-industry,1235,25-3031.00,"Substitute Teachers, Short-Term",detailed,5030,13.5,0.967,0.36,18.12,37690,13.92,28940
OH,0,Cross-industry,cross-industry,1235,25-3041.00,Tutors,detailed,5460,5.1,1.05,1.01,19.44,40430,17.73,36870
OH,0,Cross-industry,cross-industry,1235,25-3099.00,"Teachers and Instructors, All Other",detailed,790,6.8,0.152,0.13,.,63060,.,60040
OH,0,Cross-industry,cross-industry,1235,25-4011.00,Archivists,detailed,110,9.9,0.022,0.5,28.24,58740,23.62,49120
OH,0,Cross-industry,cross-industry,1235,25-4012.00,Curators,detailed,290,7.2,0.055,0.7,28.31,58880,23.8,49510
OH,0,Cross-industry,cross-industry,1235,25-4013.00,Museum Technicians and Conservators,detailed,260,9.6,0.051,0.65,23.92,49760,22.61,47030
OH,0,Cross-industry,cross-industry,1235,25-4022.00,Librarians and Media Collections Specialists,detailed,4090,6,0.786,0.87,26.16,54420,23.62,49120
OH,0,Cross-industry,cross-industry,1235,25-4031.00,Library Technicians,detailed,2520,12,0.484,0.93,16.8,34940,16.71,34750
OH,0,Cross-industry,cross-industry,1235,25-9031.00,Instructional Coordinators,detailed,4700,4.3,0.904,0.69,32,66550,29.83,62040
OH,0,Cross-industry,cross-industry,1235,25-9044.00,"Teaching Assistants, Postsecondary",detailed,2390,2.9,0.459,0.53,.,32590,.,30070
OH,0,Cross-industry,cross-industry,1235,25-9045.00,"Teaching Assistants, Except Postsecondary",detailed,43900,2.8,8.44,1,.,29490,.,28820
OH,0,Cross-industry,cross-industry,1235,25-9099.00,"Educational Instruction and Library Workers, All Other",detailed,1490,14.6,0.287,0.26,20.29,42200,17.74,36910
OH,0,Cross-industry,cross-industry,1235,27-0000.00,"Arts, Design, Entertainment, Sports, and Media Occupations",major,55430,1.9,10.657,0.83,26.99,56130,23.05,47940
OH,0,Cross-industry,cross-industry,1235,27-1011.00,Art Directors,detailed,1000,9.3,0.192,0.64,46.15,95990,39.68,82540
OH,0,Cross-industry,cross-industry,1235,27-1012.00,Craft Artists,detailed,80,17.5,0.016,0.6,18,37440,18.21,37870
OH,0,Cross-industry,cross-industry,1235,27-1013.00,"Fine Artists, Including Painters, Sculptors, and Illustrators",detailed,380,29.2,0.073,1.09,19.82,41230,22.28,46340
OH,0,Cross-industry,cross-industry,1235,27-1019.00,"Artists and Related Workers, All Other",detailed,110,33.2,0.02,0.39,31.67,65870,32.38,67350
OH,0,Cross-industry,cross-industry,1235,27-1021.00,Commercial and Industrial Designers,detailed,1300,12.8,0.249,1.26,35.22,73260,30.43,63300
OH,0,Cross-industry,cross-industry,1235,27-1022.00,Fashion Designers,detailed,90,15.1,0.018,0.13,25.65,53360,23.71,49320
OH,0,Cross-industry,cross-industry,1235,27-1023.00,Floral Designers,detailed,1430,8.7,0.275,1.08,13.84,28780,13.7,28490
OH,0,Cross-industry,cross-industry,1235,27-1024.00,Graphic Designers,detailed,7910,3.8,1.521,1.05,26.55,55230,23.53,48940
OH,0,Cross-industry,cross-industry,1235,27-1025.00,Interior Designers,detailed,2070,10.4,0.398,0.91,26.75,55640,23.89,49700
OH,0,Cross-industry,cross-industry,1235,27-1026.00,Merchandise Displayers and Window Trimmers,detailed,5670,8.1,1.091,0.96,16.39,34100,14.52,30210
OH,0,Cross-industry,cross-industry,1235,27-1027.00,Set and Exhibit Designers,detailed,140,24,0.027,0.55,27.92,58060,28.36,58990
OH,0,Cross-industry,cross-industry,1235,27-1029.00,"Designers, All Other",detailed,90,25.3,0.018,0.25,23.17,48190,22.66,47130
OH,0,Cross-industry,cross-industry,1235,27-2011.00,Actors,detailed,840,28.2,0.161,0.75,13.13,.,9.44,.
OH,0,Cross-industry,cross-industry,1235,27-2012.00,Producers and Directors,detailed,1870,8.2,0.36,0.37,29.93,62260,28.81,59920
OH,0,Cross-industry,cross-industry,1235,27-2022.00,Coaches and Scouts,detailed,8820,6.9,1.697,1.23,.,50510,.,36870
OH,0,Cross-industry,cross-industry,1235,27-2023.00,"Umpires, Referees, and Other Sports Officials",detailed,140,18.9,0.026,0.38,.,49380,.,49710
OH,0,Cross-industry,cross-industry,1235,27-2032.00,Choreographers,detailed,270,31.1,0.051,1.81,17.82,37070,15.32,31860
OH,0,Cross-industry,cross-industry,1235,27-2041.00,Music Directors and Composers,detailed,440,10.5,0.085,1.25,32.35,67280,27.65,57500
OH,0,Cross-industry,cross-industry,1235,27-2042.00,Musicians and Singers,detailed,920,10.3,0.176,1.03,54.09,.,47.38,.
OH,0,Cross-industry,cross-industry,1235,27-2091.00,"Disc Jockeys, Except Radio",detailed,..,..,..,..,19.49,.,14.5,.
OH,0,Cross-industry,cross-industry,1235,27-2099.00,"Entertainers and Performers, Sports and Related Workers, All Other",detailed,90,40.7,0.016,0.28,17.22,.,14.52,.
OH,0,Cross-industry,cross-industry,1235,27-3011.00,Broadcast Announcers and Radio Disc Jockeys,detailed,650,7.7,0.125,0.72,18.12,37700,14.04,29190
OH,0,Cross-industry,cross-industry,1235,27-3023.00,"News Analysts, Reporters, and Journalists",detailed,1460,7.6,0.28,1.01,25.39,52810,18.45,38380
OH,0,Cross-industry,cross-industry,1235,27-3031.00,Public Relations Specialists,detailed,6970,3.3,1.341,0.78,33.44,69560,29.79,61970
OH,0,Cross-industry,cross-industry,1235,27-3041.00,Editors,detailed,2220,5.6,0.428,0.68,29.58,61530,29.24,60820
OH,0,Cross-industry,cross-industry,1235,27-3042.00,Technical Writers,detailed,1340,9.7,0.258,0.76,32.65,67900,30.43,63300
OH,0,Cross-industry,cross-industry,1235,27-3043.00,Writers and Authors,detailed,1270,13.2,0.244,0.7,28.96,60250,24.06,50040
OH,0,Cross-industry,cross-industry,1235,27-3091.00,Interpreters and Translators,detailed,1740,8.3,0.334,0.9,23.6,49090,23.29,48450
OH,0,Cross-industry,cross-industry,1235,27-3092.00,Court Reporters and Simultaneous Captioners,detailed,280,7.3,0.054,0.61,31.94,66440,29.65,61670
OH,0,Cross-industry,cross-industry,1235,27-3099.00,"Media and Communication Workers, All Other",detailed,210,16,0.04,0.34,19.82,41230,17.8,37020
OH,0,Cross-industry,cross-industry,1235,27-4011.00,Audio and Video Technicians,detailed,1260,15.1,0.242,0.67,22.4,46600,22.08,45920
OH,0,Cross-industry,cross-industry,1235,27-4012.00,Broadcast Technicians,detailed,670,8.3,0.128,0.72,22.18,46130,18.72,38950
OH,0,Cross-industry,cross-industry,1235,27-4014.00,Sound Engineering Technicians,detailed,110,18.3,0.022,0.28,22.51,46830,22.13,46020
OH,0,Cross-industry,cross-industry,1235,27-4021.00,Photographers,detailed,1410,11.7,0.271,0.99,20.51,42660,17.44,36280
OH,0,Cross-industry,cross-industry,1235,27-4031.00,"Camera Operators, Television, Video, and Film",detailed,230,21.3,0.045,0.31,21.63,44980,18.22,37890
OH,0,Cross-industry,cross-industry,1235,27-4032.00,Film and Video Editors,detailed,390,14.4,0.075,0.38,26.38,54860,23.15,48160
OH,0,Cross-industry,cross-industry,1235,27-4099.00,"Media and Communication Equipment Workers, All Other",detailed,740,10.4,0.143,1.21,27.72,57660,30.96,64400
OH,0,Cross-industry,cross-industry,1235,29-0000.00,Healthcare Practitioners and Technical Occupations,major,369120,0.5,70.971,1.14,38.89,80890,30.04,62490
OH,0,Cross-industry,cross-industry,1235,29-1011.00,Chiropractors,detailed,820,11.3,0.157,0.62,42.8,89030,29.26,60860
OH,0,Cross-industry,cross-industry,1235,29-1021.00,"Dentists, General",detailed,2640,10.2,0.507,0.66,86.98,180920,79.89,166180
OH,0,Cross-industry,cross-industry,1235,29-1023.00,Orthodontists,detailed,470,25.1,0.091,2.49,110.11,229040,79.24,164830
OH,0,Cross-industry,cross-industry,1235,29-1029.00,"Dentists, All Other Specialists",detailed,100,38.4,0.02,0.59,95.6,198840,101,198840
OH,0,Cross-industry,cross-industry,1235,29-1031.00,Dietitians and Nutritionists,detailed,2580,6.4,0.495,1.05,29.69,61750,29.26,60850
OH,0,Cross-industry,cross-industry,1235,29-1041.00,Optometrists,detailed,1220,5.6,0.235,0.85,56.74,118020,49.04,102000
OH,0,Cross-industry,cross-industry,1235,29-1051.00,Pharmacists,detailed,12810,2.9,2.464,1.11,57.97,120580,61.63,128190
OH,0,Cross-industry,cross-industry,1235,29-1071.00,Physician Assistants,detailed,3490,9.3,0.672,0.71,53.21,110670,49.29,102510
OH,0,Cross-industry,cross-industry,1235,29-1081.00,Podiatrists,detailed,300,16.4,0.057,0.91,69.38,144300,61.91,128780
OH,0,Cross-industry,cross-industry,1235,29-1122.00,Occupational Therapists,detailed,5870,4.6,1.129,1.24,40.83,84930,38.47,80010
OH,0,Cross-industry,cross-industry,1235,29-1123.00,Physical Therapists,detailed,8440,4.9,1.622,1.01,44.56,92680,45.97,95620
OH,0,Cross-industry,cross-industry,1235,29-1124.00,Radiation Therapists,detailed,350,6.4,0.068,0.6,40.25,83720,38.13,79310
OH,0,Cross-industry,cross-industry,1235,29-1125.00,Recreational Therapists,detailed,550,7.1,0.106,0.88,23.75,49410,22.77,47360
OH,0,Cross-industry,cross-industry,1235,29-1126.00,Respiratory Therapists,detailed,6060,2.2,1.166,1.23,30.09,62580,29.41,61170
OH,0,Cross-industry,cross-industry,1235,29-1127.00,Speech-Language Pathologists,detailed,6450,7.1,1.24,1.18,39.77,82710,37.71,78440
OH,0,Cross-industry,cross-industry,1235,29-1128.00,Exercise Physiologists,detailed,290,24.6,0.056,1.15,23.34,48550,22.6,47000
OH,0,Cross-industry,cross-industry,1235,29-1129.00,"Therapists, All Other",detailed,..,..,..,..,33.87,70450,36.16,75220
OH,0,Cross-industry,cross-industry,1235,29-1131.00,Veterinarians,detailed,3330,3.7,0.641,1.17,47.12,98010,47.62,99040
OH,0,Cross-industry,cross-industry,1235,29-1141.00,Registered Nurses,detailed,129270,0.9,24.855,1.15,34.44,71640,35.62,74080
OH,0,Cross-industry,cross-industry,1235,29-1151.00,Nurse Anesthetists,detailed,2810,23.3,0.54,1.73,90.1,187410,80.98,168450
OH,0,Cross-industry,cross-industry,1235,29-1161.00,Nurse Midwives,detailed,190,39.4,0.036,0.65,56.15,116780,58.18,121010
OH,0,Cross-industry,cross-industry,1235,29-1171.00,Nurse Practitioners,detailed,10210,4.1,1.964,1.18,54.08,112490,49.67,103310
OH,0,Cross-industry,cross-industry,1235,29-1181.00,Audiologists,detailed,690,22.3,0.133,1.41,32.78,68180,31.52,65550
OH,0,Cross-industry,cross-industry,1235,29-1211.00,Anesthesiologists,detailed,1200,34.8,0.231,1.05,151.85,315840,101,315840
OH,0,Cross-industry,cross-industry,1235,29-1212.00,Cardiologists,detailed,250,25,0.047,0.36,101,208001,101,208001
OH,0,Cross-industry,cross-industry,1235,29-1213.00,Dermatologists,detailed,400,39,0.077,1.17,116.64,242600,79.98,166360
OH,0,Cross-industry,cross-industry,1235,29-1214.00,Emergency Medicine Physicians,detailed,1000,26.2,0.192,0.75,160.61,334060,101,334060
OH,0,Cross-industry,cross-industry,1235,29-1215.00,Family Medicine Physicians,detailed,4360,7.5,0.839,1.15,99.14,206220,79.84,166060
OH,0,Cross-industry,cross-industry,1235,29-1216.00,General Internal Medicine Physicians,detailed,1010,20.6,0.193,0.47,105.77,220000,101,220000
OH,0,Cross-industry,cross-industry,1235,29-1217.00,Neurologists,detailed,160,27.1,0.03,0.6,100.33,208680,74.39,154730
OH,0,Cross-industry,cross-industry,1235,29-1218.00,Obstetricians and Gynecologists,detailed,910,31.5,0.175,1.14,105.73,219920,94.24,196020
OH,0,Cross-industry,cross-industry,1235,29-1221.00,"Pediatricians, General",detailed,930,35.7,0.178,0.75,90.05,187300,90.76,188790
OH,0,Cross-industry,cross-industry,1235,29-1222.00,"Physicians, Pathologists",detailed,50,14.4,0.009,0.11,80.38,167180,48.62,101140
OH,0,Cross-industry,cross-industry,1235,29-1223.00,Psychiatrists,detailed,640,18.5,0.124,0.68,119.46,248470,101,248470
OH,0,Cross-industry,cross-industry,1235,29-1224.00,Radiologists,detailed,..,..,..,..,167.56,348520,101,348520
OH,0,Cross-industry,cross-industry,1235,29-1229.00,"Physicians, All Other",detailed,14620,4.9,2.812,1.54,97.08,201930,83.72,174140
OH,0,Cross-industry,cross-industry,1235,29-1241.00,"Ophthalmologists, Except Pediatric",detailed,160,47.7,0.03,0.37,122.11,253980,82.25,171070
OH,0,Cross-industry,cross-industry,1235,29-1242.00,"Orthopedic Surgeons, Except Pediatric",detailed,740,30.3,0.141,1.23,159.32,331380,101,331380
OH,0,Cross-industry,cross-industry,1235,29-1249.00,"Surgeons, All Other",detailed,640,38.7,0.124,0.59,166.38,346060,101,346060
OH,0,Cross-industry,cross-industry,1235,29-1292.00,Dental Hygienists,detailed,8800,6.7,1.691,1.15,34.75,72280,36.94,76820
OH,0,Cross-industry,cross-industry,1235,29-1299.00,"Healthcare Diagnosing or Treating Practitioners, All Other",detailed,560,3.3,0.107,0.57,42.88,89190,38.23,79520
OH,0,Cross-industry,cross-industry,1235,29-2010.00,Clinical Laboratory Technologists and Technicians,detailed,12910,2.7,2.482,1.1,27,56170,25.9,53870
OH,0,Cross-industry,cross-industry,1235,29-2031.00,Cardiovascular Technologists and Technicians,detailed,2360,2,0.453,1.15,28.72,59740,29.47,61300
OH,0,Cross-industry,cross-industry,1235,29-2032.00,Diagnostic Medical Sonographers,detailed,3480,8.7,0.67,1.2,34.71,72190,36.06,75000
OH,0,Cross-industry,cross-industry,1235,29-2033.00,Nuclear Medicine Technologists,detailed,920,10,0.177,1.46,36.19,75270,37.16,77290
OH,0,Cross-industry,cross-industry,1235,29-2034.00,Radiologic Technologists and Technicians,detailed,10200,4.3,1.96,1.28,28.74,59780,28.9,60110
OH,0,Cross-industry,cross-industry,1235,29-2035.00,Magnetic Resonance Imaging Technologists,detailed,1400,4.5,0.27,1,33.68,70060,36.06,75000
OH,0,Cross-industry,cross-industry,1235,29-2036.00,Medical Dosimetrists,detailed,80,29.9,0.015,0.85,52.28,108740,58.18,121010
OH,0,Cross-industry,cross-industry,1235,29-2042.00,Emergency Medical Technicians,detailed,5800,5.8,1.116,0.97,15.75,32760,14.38,29910
OH,0,Cross-industry,cross-industry,1235,29-2043.00,Paramedics,detailed,4140,6.5,0.797,1.16,20.11,41830,18.42,38310
OH,0,Cross-industry,cross-industry,1235,29-2051.00,Dietetic Technicians,detailed,1090,10.4,0.21,1.37,16.21,33720,14.46,30070
OH,0,Cross-industry,cross-industry,1235,29-2052.00,Pharmacy Technicians,detailed,16320,2.2,3.138,1.01,16.53,34390,16.89,35140
OH,0,Cross-industry,cross-industry,1235,29-2053.00,Psychiatric Technicians,detailed,1600,11.1,0.308,0.46,16.99,35330,14.89,30960
OH,0,Cross-industry,cross-industry,1235,29-2055.00,Surgical Technologists,detailed,3830,3.3,0.736,0.95,24.35,50640,23.01,47850
OH,0,Cross-industry,cross-industry,1235,29-2056.00,Veterinary Technologists and Technicians,detailed,4740,5.1,0.912,1.08,17.55,36510,17.48,36350
OH,0,Cross-industry,cross-industry,1235,29-2057.00,Ophthalmic Medical Technicians,detailed,3230,19.5,0.62,1.33,18.7,38900,17.62,36640
OH,0,Cross-industry,cross-industry,1235,29-2061.00,Licensed Practical and Licensed Vocational Nurses,detailed,36480,2.3,7.014,1.54,23.09,48030,22.73,47270
OH,0,Cross-industry,cross-industry,1235,29-2072.00,Medical Records Specialists,detailed,7990,5.7,1.536,1.2,22.28,46340,22.42,46640
OH,0,Cross-industry,cross-industry,1235,29-2081.00,"Opticians, Dispensing",detailed,3000,5.8,0.578,1.11,20.72,43090,22.04,45850
OH,0,Cross-industry,cross-industry,1235,29-2091.00,Orthotists and Prosthetists,detailed,510,21.2,0.099,1.34,32.35,67290,28.8,59910
OH,0,Cross-industry,cross-industry,1235,29-2092.00,Hearing Aid Specialists,detailed,220,17.9,0.043,0.56,25.74,53540,23.11,48070
OH,0,Cross-industry,cross-industry,1235,29-2099.00,"Health Technologists and Technicians, All Other",detailed,7010,4.2,1.347,1.35,21.37,44450,18.15,37760
OH,0,Cross-industry,cross-industry,1235,29-9021.00,Health Information Technologists and Medical Registrars,detailed,1500,6.7,0.288,1.07,28.85,60010,28.43,59120
OH,0,Cross-industry,cross-industry,1235,29-9091.00,Athletic Trainers,detailed,1720,13.1,0.33,1.78,.,52300,.,47440
OH,0,Cross-industry,cross-industry,1235,29-9092.00,Genetic Counselors,detailed,120,5.9,0.022,1.16,39.8,82780,38.5,80080
OH,0,Cross-industry,cross-industry,1235,29-9093.00,Surgical Assistants,detailed,410,21.1,0.079,0.64,35.33,73480,36.25,75410
OH,0,Cross-industry,cross-industry,1235,29-9099.00,"Healthcare Practitioners and Technical Workers, All Other",detailed,1420,5.2,0.274,0.87,22.16,46090,17.97,37380
OH,0,Cross-industry,cross-industry,1235,31-0000.00,Healthcare Support Occupations,major,220180,1,42.333,0.9,15.35,31930,14.14,29410
OH,0,Cross-industry,cross-industry,1235,31-1120.00,Home Health and Personal Care Aides,detailed,95120,1.9,18.288,0.77,12.7,26410,11.54,24000
OH,0,Cross-industry,cross-industry,1235,31-1131.00,Nursing Assistants,detailed,58830,2.4,11.311,1.21,15.06,31330,14.34,29840
OH,0,Cross-industry,cross-industry,1235,31-1132.00,Orderlies,detailed,2060,2,0.396,1.24,15.07,31340,14.25,29640
OH,0,Cross-industry,cross-industry,1235,31-1133.00,Psychiatric Aides,detailed,990,9.4,0.191,0.69,16.9,35140,17.98,37400
OH,0,Cross-industry,cross-industry,1235,31-2011.00,Occupational Therapy Assistants,detailed,3410,6.1,0.656,2.2,29.69,61760,29.51,61390
OH,0,Cross-industry,cross-industry,1235,31-2012.00,Occupational Therapy Aides,detailed,50,18.1,0.01,0.4,21.41,44540,19.43,40410
OH,0,Cross-industry,cross-industry,1235,31-2021.00,Physical Therapist Assistants,detailed,6150,3.9,1.182,1.78,29.54,61450,29.6,61560
OH,0,Cross-industry,cross-industry,1235,31-2022.00,Physical Therapist Aides,detailed,910,11.7,0.174,0.58,16.26,33810,14.01,29130
OH,0,Cross-industry,cross-industry,1235,31-9011.00,Massage Therapists,detailed,2000,12.7,0.385,0.67,22.66,47140,22.35,46490
